"Registered Customers","Clienti Registrati"
"If you have an account, sign in with your email address.","Se hai un account con noi, per favore accedi."
"Sign In","Accedi"
"Forgot Your Password?","Hai dimenticato la Password?"
"Or","Oppure"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creando un account con il nostro negozio sarai in grado di muoverti velocemente verso gli ordini, effettuare ordini con indirizzi di spedizione multipli, visualizzare e tracciare i tuoi ordini nel tuo account e altro ancora!"
"New Customers","Nuovi Clienti"
"Create an Account","Crea un Account"
"%1 items","%1"
"1 item","1"
"Products","Prodotti"
"Cart","Carrello"
"Your Account","Il tuo account"
"New Here?","Sei nuovo di qui?"
"Register","Registrati"
"Sign In","Accedi"
"Sign in","Accedi"
"See All","Vedi tutti"
"Search","Cerca"
"No Result","Nessun Risultato"
"%s Products","%s Prodotti"
"Discover","Scopri"
"Results","Risultati"
"Search entire store here...","Cerca per prodotto, marchio o SKU"
"My Cart","Il mio Carrello"
"Checkout","Cassa"
"Proceed to Checkout","Vai al Checkout"
"Coupon Code","Codice coupon"
"Enter discount code","Inserisci coupon"
"Apply","Applica"
"Cancel coupon","Cancella"
"Cancel","Cancella"
"Already registered?","Sei già registrato?"
"Log in with your e-mail address and password.","Effettua il login con il tuo indirizzo e-mail e la password."
"Click here","Clicca qui"
"Register / Choose a password","Vuoi registrarti?"
"Add new shipping address","Nuovo indirizzo"
"Add to address list","Aggiungi Indirizzo"
"Filters","Filtri"
"Results","Risultati"
"Result","Risultato"
"Reset","Resetta"
"Add to Wish List","Salva per dopo"
"Product Attachments","Allegati"
"Rate this product","Valuta questo prodotto"
"By","Di"
"Review by","Di"
"Technical data sheet and documentation","Scheda tecnica e Documentazione"
"I have a different billing address","Ho un indirizzo di fatturazione differente"
"Place Order Now","Effettua Ordine"
"Ship here:","Spedisci a:"
"Subscribe to newsletter","Iscriviti alla newsletter"
"Delete account","Elimina account"
"Download personal data","Scarica dati personali"
"Download","Scarica"
"Anonymise personal data","Anonimizza dati personali"
"I agree and I want to proceed","Accetto e voglio procedere"
"Proceed","Procedi"
"I understand and I want to delete my account","Ho capito e voglio cancellare il mio account"
"Submit request","Invia richiesta"
"Select an option","Seleziona un'opzione"
"Here you can download a copy of your personal
                        data which we store for your account in CSV format.","Qui puoi scaricare una copia
                        dei tuoi dati personali in formato CSV"
"Anonymising your personal data means that it will be replaced
                        with non-personal anonymous information and before that you will get your
                        new login to your e-mail address (your password will stay the same). After this process,
                        your e-mail address and all other personal data will be removed from the website.","Anonimizzare
                        i tuoi dati personali consegue il rimpiazzio di questi con informazioni anonimizzate non-personali.
                        Dopo questo processo tutti i tuoi dati saranno rimossi dal sito e dovrai utilizzare i nuovi dati per accedere.<br>
                        N.B. Solo la password rimarrà invariata."
"Request to remove your account, together with all your personal data,
                         will be processed by our staff.<br>Deleting your account will remove all the purchase
                         history, discounts, orders, invoices and all other information that might be related to your
                         account or your purchases.<br>All your orders and similar information will be
                         lost.<br>You will not be able to restore access to your account after
                         we approve your removal request.","Richiedi l'eliminazione del tuo account con tutti i tuoi
                         dati personali.<br>Questo processo verrà preso in carico dal nostro staff e tutti i dati relativi
                         ai tuoi acquisti saranno eliminati.<br>Tutti i tuoi ordini e le loro relative informazioni saranno perduti.<br>
                         Dopo la conferma di eliminazione, non potrai ripristinare il tuo account."
